no	Hotel name	rating	user type	room type	nights	review
42	فندق 72	5	زوج	-	أقمت ليلتين	“فندق الراحه”. قربه من الاسواق. لاشي
49	فندق 72	1	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	“أسرة اماراتية.”. فندق مبنى على الطراز الحديث، وكل الديكورات والاثاث مميز وراقي.. لا شئ.
52	فندق 72	4	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	رائع. نعم. عدم تحديد الغرف مطلة على البحيرة ام لا . حيث انني قمت بحجز غرفتين وحسب صور الغرف انها مطلة على البحيرة .وعند وصولي للفندق اخبروني بان احدى الغرف غير مطله
54	فندق 72	4	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	“مريح”. الهدوء. -
68	فندق 72	5	-	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	ممتاز. . الواي فاي ضعيف جدا
69	فندق 72	4	أسرة	-	أقمت ليلة واحدة	“جيد”. كل شي جميل. حجم الغرفة و
78	فندق 72	2	أسرة	-	أقمت ليلة واحدة	“موظف المسبح سيء جدا”. . موظف المسبح سيء جدامعظم الوقت المسبح للصيانهالفندق ليس خمس نجوم كما يدعونالفندق لا يستحق هذا المبلغهناك فنادق افضل منه وبسعر اقل جدا
81	فندق 72	1	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	“اقامة ممتعة”. . الموقع والنظافة
90	فندق 72	4	زوج	-	أقمت 5 ليالي	رائع. . وجود ازعاج في بناية تحت الانشاء بجانب الفندق ..
92	فندق 72	5	أسرة	-	أقمت ليلة واحدة	استثنائي. فخم جدا و نظيف. لا شي
101	فندق 72	5	مسافر منفرد	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“متعه وفخامه”. فندق نظيف ومريح وموقعه مميز. لاشيء
102	فندق 72	4	زوج	-	أقمت ليلة واحدة	“هادئ جدا نظيف . الموقع ممتاز. أنصح بالسكن فيه. لكن لا يرقى إلى مستوى خمس نجوم”. الموقع ممتاز جدا و النظافه ممتازة. تنظيم الغرفه. وكذلك أرضية الغرف كأنها بلاستيك. والفندق لا يستحق خمس نجوم.طاقم الفندق جدا رائع ومتعاون
109	فندق 72	4	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	جيد جداً. غرفه النوم والنظافة بشكل عام وتصميم جميل. مبلغ التأمين 1000  درهم وكذلك النت سئ وتم احتساب مبالغ اضافيه غير موضحه بالحجز ..
112	فندق 72	1	-	-	أقمت ليلة واحدة	ضعيف جداً. . لم اتوقع الانحدار الذي وصلته الكويت بمستوى شققها للاسف
118	فندق 72	2	-	غرفة قياسية مزدوجة	أقمت 4 ليالي	“السعودية”. . تعملالموظفين
128	فندق 72	4	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت 4 ليالي	جيد. . ارضيه الغرف غير مريحه لو يبدلونها افضل
132	فندق 72	2	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	مخيب للأمل. اكثر الفنادق تقدر تسوي جك أوت الساعه 2 او 3 الظهر هذا الفندق اذا تعدت الساعه 12 يحسب جارج عليك 200 درهم وحجز الفندق 370 درهم ماخذ فوق سعر الليله. تعاملهم
137	فندق 72	5	زوج	غرفة قياسية مزدوجة	أقمت 3 ليالي	ممتاز. جميل انصح فيه بقوة. لايوجد
140	فندق 72	4	أسرة	غرفة قياسية مزدوجة	أقمت 3 ليالي	“مكان رائع في الشارقة”. الموقع والنظافة. اضاءة الغرفة والتحكم في البرودة
141	فندق 72	4	أسرة	-	أقمت ليلة واحدة	رائع. أعجبتني الإطلالة على البحيرة و حديقة الفراشات رائع الموقع كل شي قريب منك. إذا ماكانت بطاقة الهوية لزوجتك معاك ما بيدخلونك
154	فندق 72	5	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	“جميل ومميز”. فندق جميل ورائع وغاية في النظافة ويستحق بحق الخمس نجوم..ومريح نفسيا ومحترمويتميز بإطلالة ممتعة وجميلة للغايةوموقعه كذلك مميز وقريب من كل شيء وأمام الشاطئ بإختصار ممتاز. لاشيء
158	فندق 72	2	أسرة	-	أقمت ليلتين	“اقامة غير سعيدة لوجود قصور فالخدمة”. . مدخل الفندق صغير جدا خدمة صف السيارات بطيئه لوجود عامل واحد فقط الفطور لا يتناسب مع فندق 5 نجوم بالاضافة الى غلق حمام السباحة لتعقيم في نهاية الاسبوع و راس السنه وهو المتنفس الوحيد لدى الفندق
159	فندق 72	2	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	مخيب للأمل. الموقع جيد. تعامل طاقم العمل سي وبطي ولا توجد احترافية في الخدمة
166	فندق 72	5	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	استثنائي. الفندق رائع وموقعه جميل قريب كل الاسواق ويطلع على البحر. لا شي كل شي ممتاز
173	فندق 72	1	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	ضعيف جداً. فندق رائع. 
197	فندق 72	5	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	“فندق 72 وبس”. الموقع انه يطل على المنتزة والمسجد. لا شي
201	فندق 72	5	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	استثنائي. النظافةوهدوء المكان أسلوب تعامل الموظفين كان طيب. ١-الواي فاي لا يعمل بشكل معقول مع الأيفون .٢.دفع مبلغ التأمين
203	فندق 72	4	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	“الفندق مستواه لايستحق أكثر من ٤ نجوم”. الموقع وديكور الغرفة. الأثاث متسخ وطلبت تأخير بالمغادرة كان ردهم حاسم إذا تأخرت سوف نحسب عليك نصف يومالفندق صغير جداً ولا يوحي ب ٥ نجوم بل ٤ نجوم
213	فندق 72	5	أسرة	غرفة قياسية مزدوجة	أقمت ليلتين	“Superb”. الغرف وااااااسعهالموقع ممتاز مطل على بحيرة المجازقريب من الخدماتالفندق نظييييف و عصريشكر خاص للموظف سهيل على تعاونه. رائحه كريه تخرج من دورة المياه في غرفة ٥٠٤
216	فندق 72	5	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	استثنائي. النظافه وتعامل الطاقم العمل بصراحه الفندق رووووعه مساحة الغرف ممتازه كل شي فيه اعجبني واتمنا يكون علي هذا المستوي الي الافضل. لا يوجد
218	فندق 72	4	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	جيد. الفندق بشكل عام جميل. اضاءة الغرفه خافتهحجزت سرير مزدوج واعطوني سريرين مفرد ولصقوهن جنب بعض والوضع كان سيء جدا
224	فندق 72	4	مسافر منفرد	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“النظافة اهم شي في الاقامه”. فندق نظيف. 
232	فندق 72	1	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	ضعيف جداً. الغخامه انصح فيه بقوه. 
241	فندق 72	2	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	“اختيار غير موفق في الشارقه”. . الموقع الوديكور والون غير مريح ارضيه الغرف مزعجه والاستقبال سي انتضرت اكثر من ساعه لتجهيز الغرفه ببرغم من حضوري بعد الساعه الرابعه مسا لاانصحه به بتاتا
242	فندق 72	5	مسافر منفرد	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	“ممتعه بشكل كبير”. نظافة الفندق . و عدم وجود خمور و ملاهي ليلية و القيمة مقابل الجودة و هدوء الفندق و الأثاث الحديث للغرف و كبر حجم مساحة الغرفة. قلة عدد العاملين و خصوصا حاملين الشنط و عامل الباركينق
244	فندق 72	5	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	استثنائي. . كل شي
253	فندق 72	5	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	“فندق من الاخر ...”. ممتاز. 
254	فندق 72	5	زوج	غرفة قياسية مزدوجة	أقمت ليلتين	استثنائي. كل شئ. المواقف ماهي مضلله 
262	فندق 72	5	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	استثنائي. . حوض السباحة
266	فندق 72	4	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	جيد. . اسلوب العامله التي توجد في مكان الاستقبال
267	فندق 72	4	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	جيد. درجة نظافة المكان. اسلوب بعض العاملين غير مقبول
271	فندق 72	5	أسرة	غرفة قياسية مزدوجة	أقمت 5 ليالي	“جميل”. مميز بكل شئ. لاشي
273	فندق 72	5	-	غرفة قياسية مزدوجة	أقمت ليلتين	“ممتازة جدا”. فندق ممتاز جدا وراقي وعصري. لا شي
274	فندق 72	5	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“روعة”. الفندق جميل وامام البحيرة .الفندق غايه في الجمال والنظافة كل شئ روعة. الانترنت ظعيفوالمطعم لايليق بل فندق
280	فندق 72	4	أسرة	-	أقمت 3 ليالي	“جميل”. الموقع. الانترنت لابد من تبديله كل يومالفندق لا يستاهل ٥ نجوم موظفة الاستقبال تعاملها فظ اثناء خروجنا من الفندق
283	فندق 72	4	زوج	-	أقمت 3 ليالي	“فندق ممتاز بالذات في غير المواسم”. الموقع طاقم الخدمه و الاستقبال والنظافه. يوجد مواقف لكن ليست كافيه في بعض الاحيان
301	فندق 72	5	-	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	“فندق جميل ويستاهل”. شكراً باي هيوز على ترقية حجزي الى جناح بدون اضافة اي رسومشكراً لحسن الضيافه. لا شيء
307	فندق 72	4	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	رائع. الفندق نظيف جدا والتعامل راقيخدمة الغرف ممتازة وطريقة تقديم الاكل جيدة جدا. لا يوجد
311	فندق 72	4	أسرة	-	أقمت ليلتين	جيد. موقع الفندق نظافه الفندق. منت حاجز سويت مطل وأعطوني غير مطل ولم يتم تعويضي يلي شي حتي اعتذار او افطار !!! السبب كلها فل طيب سجل في عرض بوكينج ان المطل نفذ ولن يتبقي الا الغير مطل هذا يضرب مصداقيه الفندق وقت عمل الخروج الساعه ١١ صباحا تأخرت قرابه ساعه ونصف لإنزال الشنط والتشييك منا يدل علي عدم الاحترافية بالذات لدي الموظفة الفلبينية  ولهذه الأسباب لن أكرر السكن ثانيه .
317	فندق 72	5	زوج	-	أقمت 3 ليالي	ممتاز. النظافة وخدمة ركن السيارات. صوت الموسيقى في اللفت خلال فترة دينية
320	فندق 72	4	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت 3 ليالي	رائع. مميز جدا وانصح بهنظافه وخدمه يصلح للعوائليستحق الرجوع له. للاسف كسرت قطعه بلاستيكيه داخل الثلاجه اخذوا عليها 50 درهم وهي اقل من ذلك
321	فندق 72	5	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت 3 ليالي	استثنائي. الاهتمام بالتفاصيلتكامل الخدمات وإن كان بعضها ضعيفة المستوى. التكييف في الغرف عالي جداً وصعب التحكم فيه
325	فندق 72	5	أسرة	غرفة قياسية مزدوجة	أقمت 5 ليالي	“مريح و نظيف”. فندق نظيف و مريح و طاقم الفندق محترمالمواقف و اطلالته على البحيرة و قربةمن مسجد النور. الزحمة امام الفندق بعض الاحيان في الويك اند
330	فندق 72	5	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	استثنائي. الفندق جميل جدا وقمه في النظافه والاستقبال كذلك لكن في ملاحظه مهمه يرجى استبدال الاضاءة لانه الاضاءة ضعيف في الغرفه. الاضاءة تعبانه ووالنور خفيف يرجى استبدابه لكسب الزوار والمقيمين فيه نتمنى منكم اخوك محمد الزعابي
357	فندق 72	5	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	استثنائي. كل شي جميل. الواي فاي ضعيف
360	فندق 72	1	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	ضعيف جداً. . دفع قيمة التأمين اجباري 500 درهم اماراتي . ولما عملنا مغادرة افادوني سيتم ارجاع المبلغ بعد يومين وبعد يومين افادوني بيتم رفع الحجز خلال عشر ايام واتصلت فيهم بعد عشر ايام وافادوني انهم راح يفكون الحظر عن طريق البنك بالتواصل معه علما انهم افادوني ان اتواصل مع البنك ولكني رفضت بقوه قلت لهم المفروض منكم التواصل مع البنك لفك الحظر. المبلغ لغاية اليوم ما وصل لحسابي سرقة عيني عينك .
361	فندق 72	5	مسافر منفرد	غرفة قياسية مزدوجة	أقمت ليلة واحدة	استثنائي. مكان الفندق و ترتيب الأثاث في  الغرفة. مواقف السيارات غير مغطات
379	فندق 72	4	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	جيد. الفندق فخم ونظيف واطلالته جميله وكل شي كان ممتاز وجميل. اول ماوصلنا طلبنا منهم ياخذون البار كله ولماجينا نسوي تشيك اوت قالوا انتم اكلتوا كل اللي بالثلاجه احنا مااخذنا شي وانكروا
380	فندق 72	5	أسرة	-	أقمت ليلة واحدة	ممتاز. اعجبني الاستقبال كان بكوب عصير منعش خاصة جاءت في الوقت المناسب اعجبتني الموظفه عطا احسن توديعنا واعجبني الفلبيني علي حسن استقباله لنا. المواقف لايوجد بها مظلات
381	فندق 72	5	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“استمتعت باقامتي بالفندق”. . المخدات غير مريحه بالنوم  ومتعبة ومن الضروري وجود مخدات افضل من المخدات الموجوده حالياً بالفندق ولقد طلبت مخدات اكثر صلابه من الفندق وتم توفير مخدات بديلة ولكن المخدات البديله أيضاًغير مريحة بالنوم
383	فندق 72	5	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“الفندق راقي ومريح”. السرير مريح جدآ. اﻷضواء داخل الغرفة خفيفة جدآ.
386	فندق 72	5	أسرة	-	أقمت ليلة واحدة	“تميز”. الفطور الغرفه. حوض السباحة مناسب للأطفال فقط
387	فندق 72	4	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“اقامة ممتعة”. تعامل الموظفين الموقعتصميم وديكور الفندق. المخدات غير مريحة نهائياً .. (مشكلة أغلب الفنادق )
388	فندق 72	4	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	جيد. . اضاءة الغرفة ضعيفة
400	فندق 72	5	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	“المكان ممتاز ومناسب جدا للعائلات ورحلات العمل”. كل شي ممتاز. لا شي
410	فندق 72	4	أسرة	-	أقمت ليلتين	“رائع”. الفندق مريح جدا وجميل. عاملة الاستقبال الفلبنية ليست جيده.
413	فندق 72	2	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“لن أسكن فيه مرة أخرى”. الإنترنت جيد. حجزت بمبلغ ودفعت الضعفبحجة الضرائب وسرير غرفة توأم بلا من مزدوجالموظفة عابسة وغير مرنةالمسبح ليس فيه مكان مخصص للصغار
414	فندق 72	5	زوج	-	أقمت ليلتين	استثنائي. الفندق رااااائع وسأكرر الزياره باذن الله. لم تعجبني وسائد النوم
443	فندق 72	2	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“غير صالح للاقامة الى ان تنتهي العمليات الانشائية”. الغرفة واسعة. للأسف الفندق في الفتره الحاليه غير صالح للسكن لان تبنى بجانبه بنايه كان ازعاج غير متوقع من الفجر والمشكله انهم ما عطونا تنبيه انه الغرفة مطله على الموقع الانشائي او قاموا بتغيير الغرفة .لما اخبرنا موظفة الاستقبال ما اهتمت ولا حتى اعتذرت.
447	فندق 72	4	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	جيد. نظافة الفندق وتصميمه العصري الحديث وتوفر المواقف للسيارات كان تعامل الطاقم جيدا. موظفة الأستقبال السورية تنقصها الابتسامه وحسن التعامل مع الزبائن ازعاج من خارج الفندق باعمال أنشائيه بجانب الفندق .
462	فندق 72	4	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	جيد جداً. موقع الفندق مكامن على بحيرة خالد كل شئ جيد.. 
475	فندق 72	5	زوج	غرفة قياسية مزدوجة	أقمت 4 ليالي	“اقامة رائعه”. كل ما في الفندق رائع. لا شئ
476	فندق 72	2	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	“اسواء تعامل تعاملته مع هذا الفندق”. . لم يعجبني تعامل الاداره تم اتهامي بأني اكلت من الميني بار ملاحضه لم المس الميني بار ابدا وكذالك موظف صف السيارات كان خشن بالتعامل مع السياره حيث انه فتح باب سيارة اخرى على طرف سيارتي بقوه حيث انه طلاء السياره زال  لايوجد احتارم من الموظفين العرب الذين يعملون بالفندق نفسه
482	فندق 72	5	زوج	غرفة قياسية مزدوجة	أقمت ليلتين	استثنائي. المكان جميل ممتاز. عدم وجود حاجز للاصوات اتمنى وجود الحل عاجلا واتمنى وضع اسعار خاصه لنزلاء الفندق الذين قامو بالزياره سابقا .
488	فندق 72	1	زوج	غرفة قياسية مزدوجة	أقمت ليلتين	“ضعيف”. لا شيا. سياء من حيث الغرف والمواقف والاستقبال السرير اسؤ سرير في حياتي الفطور بارد النظافه ردييييء
489	فندق 72	5	أسرة	-	أقمت 3 ليالي	“فندق ممتاز”. النظافة وأسعار الفطور كانت مناسبة.واي فأي سريع.منظر جميل من الغرفة.قريب من مسجد النور. يوجد موظفة واحدة فقط فى الاستقبال.يوجد تصليحات مقابل الفندق
492	فندق 72	5	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	ممتاز. الفندق من حيث النظافة فو ممتاز الغرف واسعة و منسقة و نظيفة جدا الطاقم متعاون جدا و التنظيف مستمر يتوفر المواقف جنب الفندق بالإضافة إلى توفر خدمة صف السيارات. 
495	فندق 72	4	أسرة	غرفة قياسية مزدوجة	أقمت ليلتين	“فندق جميل وبإذن الله سوف أعودإليكم”. الموقع جميل أمام الكورنيش ، وإطلالة ساحرة ، ونظافة وفخامة الفندق مودرن ،وهدوء المكان ، وسعة الغرفة ، وطاقم الفندق جداً ممتاز. الإفطار لم يكن بالشكل المطلوب عادي جداً 
498	فندق 72	5	أسرة	-	أقمت ليلتين	“جميل  ورائع”. كل شئ جميل. الكهرباء اطفئت لمدة نصف ساعة وهذا اول مرة يحصل خلال سفراتي
499	فندق 72	4	-	غرفة قياسية مزدوجة	أقمت ليلة واحدة	رائع. التجاوب السريع والهدؤ والديكور الرائع ونضافه وتصميم الحمام ، موقعه قريب من الخدمات مثل المطاعم والسوبر ماركت. المواقف غير مضلله ، المخدة لم تعجب واحد منا اما الاخر اعجبته وبقوة والثالث يقول عاديه 
502	فندق 72	5	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت 6 ليالي	استثنائي. كل شي روعه طاقم العمل اكثر من رائع لم اشاهد ابداً طاقم عمل بهذا المستوى من الخدمه والبشاشه والاحترام ليس له مثيل في الشارقه. لا شي
507	فندق 72	4	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت 5 ليالي	رائع. طاقم العمل لبق التعامل ..... حجم المسبح صغير ....
511	فندق 72	5	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	استثنائي. كل شي. لا شي
513	فندق 72	5	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	“اكثر من رائع”. كل شي. لا شي
519	فندق 72	5	زوج	-	أقمت ليلتين	“فندق ممتاز”. كل شي اعجبني وانصح الجميع بالاقامة بهذا الفندق الرائع. لا شي
521	فندق 72	5	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	استثنائي. النظافة الموقع الرائع تعاون طاقم العمل سعر مقبول مواقف جيدة أنصح به. الطعام لم يكن بالدرجة المطلوبة والقهوة غير لذيذة
527	فندق 72	5	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت 3 ليالي	“طاقم عمل رائع”. حسن التعامل من قبل جميع العاملين. لاشئ
528	فندق 72	4	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	رائع. ديكور الفندق ونظافته. ولا شي
531	فندق 72	5	أسرة	-	أقمت 7 ليالي	ممتاز. كل شي في الفندق أعجبني.الديكور الانارة، الواي فاي، المواقف الخاصة بالفندق، الراحة، وووووو  ،وفي شي أعجبني وهو اللمصعد كل ما اضغط على الزر ألقاه جاهز مايتأخر (^__^)..... لا يوجد شي
532	فندق 72	5	أسرة	-	أقمت 5 ليالي	“رحله جيده”. التصميم. نظام الاكل والأصناف في الاكل ضعيفه لا توجد راحه في النوم بسبب المخدات مداخل الفندق والممرات صغيره بنسبه لمستوى خمسه نجوم
533	فندق 72	2	زوج	-	أقمت ليلتين	“لا انصح فيه”. الافطار كان جيد. غااالي ومايستاهل خمس نجوم
540	فندق 72	2	زوج	غرفة قياسية مزدوجة	أقمت ليلتين	“سوء معامله”. الموقع. طريقة الاستقبال غير جيدة من قبل احد موظفي الفندق وعند طلب تغير غرفة مطله على البحر طلب مني مبلغ مبالغ فيه جدا وانا عن نفسي لا اتمنا العودة إلى هذا الفندق مرة اخرى
544	فندق 72	5	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	“فندق ممتاز جدا”. فندق ممتاز من جميع النواحي  وانصح به كل زوار الشارقة. 
548	فندق 72	5	-	-	أقمت 3 ليالي	“فندق متميز ومن الطراز الأول”. أفضل خيار للسكن في الشارقة ودبي وماجاورها.... 
552	فندق 72	5	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلتين	“١٠”. كل شي في الفندق ممتاز ويطلع على أجمل منظر في الشارقة وسوفا اعود لزيارة مجددا. 
567	فندق 72	5	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	استثنائي. كل شي. لا شي
573	فندق 72	5	زوج	غرفة قياسية مزدوجة	أقمت 4 ليالي	“فندق جميل للعائلة المحافظة”. كل شيء جميل وتعاون الطاقم ممتاز وحتى تم ترقية حجزي من غرفة إلى جناح تنفيذي مجاناً والاثاث جديد والغرفة كانت فخمه والاضاءة كانت روعه. 
579	فندق 72	5	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“للفخامة عنوان”. فندق رائع للاسترخاء. 
585	فندق 72	5	زوج	غرفة قياسية مزدوجة	أقمت ليلتين	“السعوديه القصيم”. النظافه . الهدوء و. ارتفاع سعر الخدمات و ضعف الواي فاي
586	فندق 72	4	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	“ماجد المزروعي”. الموقع ممتاز ، هدوء ، النظافه ممتازه ، الخدمه عاليه الجوده ، الاستقبال رائع ، الفندق حديث وأنيق. غالي نوعاً ما
596	فندق 72	5	أسرة	-	أقمت ليلة واحدة	“ممتاز”. ممتاز. لايوجد
600	فندق 72	5	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت 6 ليالي	استثنائي. كل الامور ممتازة لاسيما الطعام. وخدمة الغرف السريعة. والهدوء. سكنا خمسة ايام ولم نستفد من خدمة المسبح لطول مدة الصيانة.
601	فندق 72	2	زوج	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	“ازعاج”. . ازعاج عشان الجيك أوت الساعه 11 الصبح
609	فندق 72	5	زوج	-	أقمت ليلتين	“الأصالة و الإبداع”. تصميم الفندق رائع ، إدارة ممتازة ، طاقم العمل ممتاز .. 
610	فندق 72	5	أسرة	-	أقمت ليلة واحدة	“فندق ممتاز”. قربه من المسجدوتعاون الموظفينعدم وجود الكحولياتالمسبح مكيف داخل المبنى. صغر الموقف أمام البوابة
613	فندق 72	5	أسرة	-	أقمت ليلة واحدة	“السعر مرتفع”. الخدمات و الموقع و طاقم العمل ممتاز. السعر مرتفع
616	فندق 72	5	أسرة	غرفة ديلوكس مزدوجة أو توأم	أقمت ليلة واحدة	“روووووعة”. جدا اكثر من الرائع وتصميم الديكور عجيب افضل من الصور المعروضة وكل الخدمات ممتازة !!. 
617	فندق 72	4	مسافر منفرد	غرفة قياسية مزدوجة	أقمت ليلتين	“جيد جدا وانصح الجميع بتجربة هذا الفندق”. النظافة الموقع الهدوء. وجود عطل في مغسلة الحمام
624	فندق 72	5	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	استثنائي. احترام. 
626	فندق 72	5	زوج	غرفة قياسية مزدوجة	أقمت ليلة واحدة	ممتاز. . تصاعد الروائح إلى داخل الغرفة
629	فندق 72	5	أسرة	-	أقمت ليلة واحدة	ممتاز. سلاسة وبساطة الفندقمع قمة الخدمات ونظافتهاخدمة السيارة رائعة ومريحةكذلك حمام السباحة رغم صغرهسرعة استجابة الطاقم وأرجو أن يكون ذلك دائما. لا شيء إلى الآن
631	فندق 72	4	أسرة	غرفة قياسية مزدوجة	أقمت ليلة واحدة	جيد جداً. كل شي حلو في فندق موقع وهدء تام  انصح فيه. صار موقف بصراحه تضايقة منه انا كنت حاجز مع فطور وقالوا لي الفطور يعني سحور وقلت مب مشكلة و فطرنا ع حسابنا وقت السحور يكون مجانا وطلبنا اكل وقت الخروج كانوا يبون يدفعوني مبلغ السحور طبعا رفضت ادفع ولف و دوران في نهايه دفعت لهم وفيك راسي لاني كنت مستعجل ع الطلعه
632	فندق 72	5	زوج	غرفة قياسية مزدوجة	أقمت ليلتين	استثنائي. الفندق رائع جدا ونظيف جدا جدا اتمنى ان يستمر الوضع هكذا دائما بالذات مستوى النظافه عالي جدا. لاشي
635	فندق 72	4	زوج	-	أقمت ليلة واحدة	جيد. موقع الفندق قريب من الأسواق و البحيرة ومسجد النور الاكل في الغرفة العشاء و الفطور كان لذيذ أعجبني طريقد استخدام الإضاءه. لم تعجبني الارضيه هي من مادة بلاستيكية لم يوفرو لي سرير لطفل رضيع بحجة نفاذ الاسره
